SigmaA_MPa,n_halfcycles,N_failure,Damage_i
0,0.5,Inf,0
2.34228125153189,0.5,1.21652792410461e+24,2.05502886572871e-25
8.91625516857003,0.5,1.90409063065681e+18,1.31296271288181e-19
12.521050192105,0.5,6.3841772924144e+16,3.91593134947939e-18
12.8200399486322,0.5,5.04218433603966e+16,4.95816859001153e-18
14.6198606559373,0.5,1.35543960313166e+16,1.84442006432739e-17
15.4152111440402,0.5,7.98027260338546e+15,3.13272506372706e-17
15.7647293190759,0.5,6.37745379584045e+15,3.92005976057493e-17
15.9180385762465,0.5,5.78917896386347e+15,4.31840165178034e-17
15.9852360052419,0.5,5.55037055131531e+15,4.50420377682272e-17
16.0146779377313,0.5,5.44917068413609e+15,4.5878540881058e-17
16.0275780179603,0.5,5.40547057937697e+15,4.62494423619294e-17
