t_wall_mm,delta_em_mm,delta_th_mm,delta_total_mm,Feasible,C_rb_kJ_K,tau_rb_hr,Mass_tonnes
20,2.36526535992066,-0.47628272,1.88898263992066,0,5116.12935634578,255.806467817289,10.441080319073
22,2.15094760417635,-0.474537119999999,1.67641048417635,0,5628.89608529931,281.444804264966,11.4875430312231
24,1.97234963910361,-0.47279152,1.49955811910361,0,6141.87259485612,307.093629742806,12.5344338670533
26,1.82122843599241,-0.47104592,1.35018251599241,0,6655.05888501637,332.752944250819,13.581752826564
28,1.69169611719287,-0.46930032,1.22239579719287,0,7168.45495577999,358.422747789,14.6294999097551
30,1.57943490576174,-0.467554719999999,1.11188018576174,0,7682.06080714725,384.103040357363,15.6776751166271
32,1.48120646899176,-0.46580912,1.01539734899176,0,8195.87643911778,409.793821955889,16.7262784471792
34,1.39453443481264,-0.464063519999999,0.930470914812643,0,8709.90185169177,435.495092584588,17.7753099014118
36,1.3174927360587,-0.46231792,0.855174816058701,0,9224.13704486911,461.206852243456,18.8247694793247
38,1.24856079338861,-0.460572319999999,0.78798847338861,0,9738.5820186501,486.929100932505,19.8746571809186
40,1.18652214332944,-0.45882672,0.727695423329444,1,10253.2367730343,512.661838651713,20.9249730061924
42,1.13039202973642,-0.457081119999999,0.673310909736421,1,10768.1013080219,538.405065401094,21.9757169551467
44,1.07936474303661,-0.45533552,0.62402922303661,1,11283.175623613,564.158781180648,23.0268890277815
46,1.0327746970611,-0.45358992,0.579184777061098,1,11798.4597198077,589.922985990384,24.0784892240973
48,0.990067236669216,-0.451844319999999,0.538222916669217,1,12313.9535966056,615.697679830278,25.130517544093
50,0.950776451542784,-0.45009872,0.500677731542784,1,12829.6572540069,641.482862700345,26.1829739877692
52,0.914508109874175,-0.44835312,0.466154989874175,1,13345.5706920116,667.278534600581,27.2358585551257
54,0.880926384568011,-0.44660752,0.434318864568011,1,13861.6939106201,693.084695531003,28.2891712461634
56,0.849743423828345,-0.444861919999999,0.404881503828346,1,14378.0269098317,718.901345491584,29.342912060881
58,0.820711079555208,-0.44311632,0.377594759555208,1,14894.5696896467,744.728484482337,30.3970809992791
60,0.793614290062013,-0.44137072,0.352243570062014,1,15411.3222500652,770.566112503259,31.4516780613575
62,0.76826574355723,-0.439625119999999,0.32864062355723,1,15928.2845910873,796.414229554363,32.5067032471168
64,0.74450154222333,-0.437879519999999,0.306622022223331,1,16445.4567127126,822.27283563563,33.5621565565563
66,0.722177654644919,-0.43613392,0.286043734644919,1,16962.8386149413,848.141930747065,34.6180379896761
68,0.701166994279031,-0.43438832,0.266778674279031,1,17480.4302977735,874.021514888673,35.6743475464765
70,0.681356998759062,-0.432642719999999,0.248714278759062,1,17998.2317612093,899.911588060464,36.7310852269577
72,0.66264761264808,-0.43089712,0.23175049264808,1,18516.2430052483,925.812150262417,37.7882510311191
74,0.644949597313154,-0.42915152,0.215798077313155,1,19034.4640298908,951.723201494539,38.8458449589608
76,0.628183107661689,-0.42740592,0.200777187661689,1,19552.8948351367,977.644741756833,39.903867010483
78,0.612276487841379,-0.425660319999999,0.18661616784138,1,20071.5354209861,1003.5767710493,40.9623171856859
80,0.597165247585183,-0.42391472,0.173250527585183,1,20590.3857874389,1029.51928937194,42.0211954845692
82,0.582791188359448,-0.42216912,0.160622068359449,1,21109.445934495,1055.47229672475,43.0805019071326
84,0.569101654348029,-0.42042352,0.148678134348029,1,21628.7158621546,1081.43579310773,44.1402364533767
86,0.556048887950262,-0.418677919999999,0.137370967950263,1,22148.1955704177,1107.40977852089,45.2003991233015
88,0.543589473165575,-0.41693232,0.126657153165575,1,22667.8850592842,1133.39425296421,46.2609899169065
90,0.531683853193456,-0.415186719999999,0.116497133193456,1,23187.7843287541,1159.3892164377,47.322008834192
92,0.520295910955203,-0.41344112,0.106854790955203,1,23707.8933788273,1185.39466894137,48.3834558751578
94,0.509392603166061,-0.411695519999999,0.0976970831660623,1,24228.2122095042,1211.41061047521,49.4453310398045
96,0.49894364014837,-0.40994992,0.0889937201483702,1,24748.7408207844,1237.43704103922,50.5076343281313
98,0.488921204851227,-0.408204319999999,0.0807168848512277,1,25269.4792126679,1263.47396063339,51.5703657401385
100,0.479299705587822,-0.40645872,0.0728409855878223,1,25790.4273851548,1289.52136925774,52.6335252758262
102,0.470055557862485,-0.40471312,0.0653424378624853,1,26311.5853382455,1315.57926691227,53.6971129351948
104,0.461166991371547,-0.402967519999999,0.0581994713715475,1,26832.9530719394,1341.64765359697,54.7611287182436
106,0.452613878853136,-0.40122192,0.0513919588531364,1,27354.5305862366,1367.72652931183,55.8255726249726
108,0.444377583953688,-0.39947632,0.0449012639536881,1,27876.3178811372,1393.81589405686,56.8904446553821
110,0.436440825690816,-0.39773072,0.0387101056908164,1,28398.3149566416,1419.91574783208,57.9557448094726
112,0.42878755743805,-0.395985119999999,0.0328024374380511,1,28920.5218127491,1446.02609063745,59.021473087243
114,0.421402858647976,-0.39423952,0.0271633386479765,1,29442.93844946,1472.146922473,60.087629488694
116,0.414272837776469,-0.39249392,0.0217789177764698,1,29965.5648667745,1498.27824333872,61.1542140138255
118,0.407384545079022,-0.390748319999999,0.0166362250790224,1,30488.4010646925,1524.42005323462,62.2212266626377
120,0.400725894127446,-0.389002719999999,0.0117231741274473,1,31011.4470432137,1550.57235216069,63.28866743513
122,0.394285591046234,-0.38725712,0.00702847104623442,1,31534.7028023384,1576.73514011692,64.3565363313029
124,0.388053070597024,-0.385511519999999,0.00254155059702473,1,32058.1683420665,1602.90841710332,65.4248333511561
126,0.382018438350251,-0.383765919999999,-0.00174748164974778,1,32581.8436623982,1629.09218311991,66.4935584946901
128,0.376172418278221,-0.38202032,-0.00584790172177934,1,33105.7287633331,1655.28643816666,67.5627117619044
130,0.370506305185719,-0.38027472,-0.00976841481428064,1,33629.8236448715,1681.49118224357,68.6322931527989
132,0.365011921465137,-0.37852912,-0.0135171985348629,1,34154.1283070133,1707.70641535066,69.702302667374
134,0.359681577724259,-0.376783519999999,-0.01710194227574,1,34678.6427497587,1733.93213748793,70.77274030563
136,0.354508036888078,-0.37503792,-0.0205298831119222,1,35203.3669731073,1760.16834865537,71.8436060675659
138,0.349484481422172,-0.373292319999999,-0.0238078385778278,1,35728.3009770594,1786.41504885297,72.9148999531824
140,0.344604483365533,-0.37154672,-0.0269422366344675,1,36253.4447616149,1812.67223808074,73.9866219624793
142,0.339861976895812,-0.369801119999999,-0.0299391431041874,1,36778.798326774,1838.9399163387,75.0587720954572
144,0.335251233180809,-0.36805552,-0.032804286819191,1,37304.3616725364,1865.21808362682,76.131350352115
146,0.330766837296945,-0.366309919999999,-0.0355430827030544,1,37830.1347989021,1891.5067399451,77.2043567324532
148,0.326403667019226,-0.36456432,-0.0381606529807736,1,38356.1177058713,1917.80588529357,78.2777912364721
150,0.322156873308005,-0.362818719999999,-0.0406618466919936,1,38882.3103934441,1944.1155196722,79.3516538641716
152,0.318021862336262,-0.361073119999999,-0.0430512576637374,1,39408.7128616202,1970.43564308101,80.4259446155514
154,0.31399427891735,-0.359327519999999,-0.0453332410826491,1,39935.3251103997,1996.76625551998,81.5006634906116
156,0.310069991207542,-0.35758192,-0.047511928792458,1,40462.1471397826,2023.10735698913,82.5758104893522
158,0.306245076570396,-0.35583632,-0.0495912434296034,1,40989.1789497691,2049.45894748845,83.6513856117736
160,0.30251580850131,-0.354090719999999,-0.0515749114986892,1,41516.4205403589,2075.82102701794,84.7273888578752
